voucher_number,voucher_date,branch_code,supplier,status,amount
P000001,2025-05-31,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,7111.02
P000001,2025-06-05,CGN,KREEM FOODS (P) LTD,FINAL,0.00
P000002,2025-06-05,CGN,KREEM FOODS (P) LTD,FINAL,0.00
P000003,2025-06-06,CGN,VALIYAVEEDANS-AGENCIES,FINAL,0.00
P000004,2025-06-06,CGN,VALIYAVEEDANS-AGENCIES,FINAL,0.00
P000005,2025-06-06,CGN,VALIYAVEEDANS-AGENCIES,FINAL,0.00
P000007,2025-06-07,CGN,MIKKU--DISTRIBUTIONS,FINAL,0.00
P000008,2025-06-07,CGN,TRAVANCORE-MARKETING-SYNDICATE,FINAL,0.00
P000009,2025-06-07,CGN,KREEM FOODS (P) LTD,FINAL,0.00
P000010,2025-06-07,CGN,VALIYAVEEDANS-AGENCIES,FINAL,0.00
P000011,2025-06-07,CGN,SACHINA-AGENCIES,FINAL,0.00
P000012,2025-06-07,CGN,JP-TRADING-COMPANY,FINAL,0.00
P000013,2025-06-09,CGN,PUNARTHAM AGENIES 9995692927,FINAL,0.00
P000014,2025-06-09,CGN,MOOLAYIL TRADE LINKS,FINAL,0.00
P000015,2025-06-10,CGN,V VENTURES 9074682810,FINAL,0.00
P000016,2025-06-10,CGN,V VENTURES 9074682810,FINAL,0.00
P000017,2025-06-10,CGN,CHITRA-AGENCIES,FINAL,0.00
P000018,2025-06-10,CGN,CHITRA-AGENCIES,FINAL,0.00
P000019,2025-06-10,CGN,VALIYAVEEDANS-AGENCIES,FINAL,0.00
P000020,2025-06-11,CGN,RAMD-ENTERPRISES,FINAL,0.00
P000021,2025-06-11,CGN,REEMS SODA PRODUCTS 9947520504,FINAL,0.00
P000022,2025-06-11,CGN,SNEHA-ENTERPRISES,FINAL,0.00
P000023,2025-06-11,CGN,SNEHA-ENTERPRISES,FINAL,0.00
P000024,2025-06-11,CGN,COMMERCIAL-COMBINES,FINAL,0.00
P000025,2025-06-11,CGN,VALIYAVEEDANS-AGENCIES,FINAL,0.00
P000026,2025-06-12,CGN,A.K.M ENTERPRISES 9249773639,FINAL,0.00
P000027,2025-06-12,CGN,SREE-SIVA-AGENCIES,FINAL,0.00
P000003,2025-06-13,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,314.00
P000004,2025-06-13,ACCOUNTS,MURALYA-DAIRY,FINAL,488.00
P000005,2025-06-13,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,750.00
P000006,2025-06-13,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,600.00
P000007,2025-06-13,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,523.45
P000008,2025-06-13,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1695.00
P000010,2025-06-13,ACCOUNTS,MURALYA-DAIRY,FINAL,823.00
P000011,2025-06-13,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,418.00
P000012,2025-06-13,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1177.00
